"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Sex: Total","Age (Youth, adults): 15+","2021",5.679,,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Sex: Total","Age (Youth, adults): 15-24","2021",8.784,,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Sex: Total","Age (Youth, adults): 25+","2021",4.516,,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Sex: Male","Age (Youth, adults): 15+","2021",5.729,,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Sex: Male","Age (Youth, adults): 15-24","2021",8.547,,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Sex: Male","Age (Youth, adults): 25+","2021",4.732,,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Sex: Female","Age (Youth, adults): 15+","2021",5.519,,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Sex: Female","Age (Youth, adults): 15-24","2021",9.432,,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Sex: Female","Age (Youth, adults): 25+","2021",3.781,,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Sex: Total","Age (Youth, adults): 15+","2020",11.71,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Sex: Total","Age (Youth, adults): 15-24","2020",16.2,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Sex: Total","Age (Youth, adults): 25+","2020",9.792,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Sex: Male","Age (Youth, adults): 15+","2020",10.452,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Sex: Male","Age (Youth, adults): 15-24","2020",14.543,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Sex: Male","Age (Youth, adults): 25+","2020",8.865,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Sex: Female","Age (Youth, adults): 15+","2020",16.772,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Sex: Female","Age (Youth, adults): 15-24","2020",21.115,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Sex: Female","Age (Youth, adults): 25+","2020",14.119,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Sex: Total","Age (Youth, adults): 15+","2017",11.184,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Sex: Total","Age (Youth, adults): 15-24","2017",17.574,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Sex: Total","Age (Youth, adults): 25+","2017",8.318,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Sex: Male","Age (Youth, adults): 15+","2017",10.37,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Sex: Male","Age (Youth, adults): 15-24","2017",16.285,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Sex: Male","Age (Youth, adults): 25+","2017",7.86,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Sex: Female","Age (Youth, adults): 15+","2017",14.027,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Sex: Female","Age (Youth, adults): 15-24","2017",21.399,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Sex: Female","Age (Youth, adults): 25+","2017",10.049,,,,"Repository: ILO-STATISTICS - Micro data processing"
