code,Suma de deaths_by_pop
AFG,191
AGO,83
ALB,333
ARE,60
ARG,222
ARM,460
AUS,202
AUT,366
AZE,419
BDI,91
BEL,290
BEN,92
BFA,105
BGD,166
BGR,1052
BHR,71
BHS,182
BIH,441
BLR,863
BLZ,103
BOL,121
BRA,176
BRB,257
BRN,96
BTN,140
BWA,142
CAF,133
CAN,199
CHE,285
CHL,148
CHN,283
CIV,0
CMR,109
COD,0
COG,0
COL,131
COM,136
CPV,136
CRI,113
CUB,300
CYP,241
CZE,0
DEU,395
DJI,89
DMA,337
DNK,276
DOM,207
DZA,205
ECU,111
EGY,246
ERI,175
ESP,250
EST,580
ETH,68
FIN,424
FJI,246
FRA,233
FSM,0
GAB,130
GBR,284
GEO,854
GHA,122
GIN,133
GMB,100
GNB,123
GNQ,59
GRC,423
GRD,212
GTM,77
GUM,203
GUY,284
HND,126
HRV,565
HTI,221
HUN,610
IDN,214
IND,156
IRL,197
IRN,181
IRQ,198
ISL,210
ISR,140
ITA,349
JAM,186
JOR,91
JPN,248
KAZ,457
KEN,76
KGZ,330
KHM,156
KIR,275
KOR,125
KWT,94
LAO,177
LBN,276
LBR,94
LBY,133
LCA,173
LKA,199
LSO,200
LTU,708
LUX,249
LVA,793
MAR,286
MDA,719
MDG,125
MDV,105
MEX,107
MKD,621
MLI,97
MLT,307
MMR,244
MNE,599
MNG,292
MOZ,114
MRT,98
MUS,213
MWI,88
MYS,153
NAM,152
NER,71
NGA,82
NIC,111
NLD,224
NOR,281
NPL,124
NZL,235
OMN,170
PAK,141
PAN,119
PER,85
PHL,168
PNG,152
POL,424
PRI,206
PRK,353
PRT,321
PRY,143
PSE,131
QAT,43
ROU,723
RUS,807
RWA,81
SAU,152
SDN,183
SEN,100
SGP,109
SLB,338
SLE,121
SLV,124
SOM,113
SRB,871
SSD,64
STP,130
SUR,190
SVK,493
SVN,333
SWE,397
SWZ,131
SYC,223
SYR,164
TCD,92
TGO,95
THA,130
TJK,265
TKM,254
TLS,0
TTO,231
TUN,267
TUR,207
TWN,138
TZA,96
UGA,67
UKR,934
URY,291
USA,264
UZB,358
VCT,267
VEN,145
VIR,394
VNM,237
VUT,265
WSM,251
YEM,151
ZAF,162
ZMB,93
ZWE,121
