year,meningitis,alzheimer's_diesease,parkinson's_disease,nutritional_deficiency,malaria,drowning,interpersonal_violence,maternal_disorders,hiv/aids,drug_use_disorders,tuberculosis,cardiovascular_diseases,lower_respiratory_infections,neonatal_disorders,alcohol_use_disorders,self_harm,exposure_to_forces_of_nature,diarrheal_diseases,environmental_heat_and_cold_exposure,neoplasms,conflict_and_terrorism,diabetes_mellitus,chronic_kidney_disease,poisonings,protein_energy_malnutrition,terrorism,road_injuries,chronic_respiratory_diseases,chronic_liver_diseases,digestive_diseases,fire_heat_hot_substance,acute_hepatitis
1990-01-01,1922279.0,2966733.0,765255.0,3432471.0,3533246.0,2180283.0,1785280.0,1370101.0,1445879.0,287238.0,8152640.0,61249069.0,15478528.0,13665071.0,586670.0,3715328.0,206814.0,13030315.0,269096.0,29962625.0,476338.0,3294866.0,2944563.0,410584.0,2949951.0,14296.0,5385261.0,15337059.0,4922891.0,9108901.0,584339.0,771923.0
1991-01-01,1903078.0,3089057.0,784321.0,3304634.0,3605949.0,2151023.0,1833178.0,1350712.0,1847003.0,316710.0,8200188.0,61954827.0,15311248.0,13512233.0,616353.0,3782073.0,633232.0,13060528.0,276146.0,30545184.0,352256.0,3385342.0,3005248.0,409420.0,2834287.0,16858.0,5400952.0,15615520.0,4991672.0,9220338.0,588109.0,767735.0
1992-01-01,1888094.0,3211951.0,804462.0,3168200.0,3587039.0,2114369.0,1937583.0,1353379.0,2307713.0,341951.0,8296632.0,62913535.0,15193727.0,13380219.0,661314.0,3865764.0,55900.0,12931086.0,292250.0,31181268.0,263033.0,3492355.0,3083917.0,411591.0,2714642.0,19484.0,5432797.0,15906405.0,5065943.0,9342460.0,591969.0,760130.0
1993-01-01,1859370.0,3340192.0,831889.0,3043475.0,3599247.0,2106346.0,2058396.0,1323850.0,2833175.0,366509.0,8121860.0,64636037.0,15048906.0,13244282.0,721480.0,3969606.0,101027.0,12579919.0,326453.0,32046527.0,259392.0,3617749.0,3167534.0,418927.0,2611159.0,0.0,5482696.0,16199581.0,5184730.0,9515968.0,603857.0,751618.0
1994-01-01,1824497.0,3461972.0,852741.0,2928102.0,3561418.0,2095126.0,2104280.0,1320250.0,3407723.0,392807.0,8006163.0,65630839.0,14855621.0,13099032.0,770417.0,4092848.0,58230.0,12283644.0,353087.0,32687943.0,2278683.0,3727649.0,3255360.0,422681.0,2517936.0,15380.0,5554397.0,16346648.0,5285278.0,9647841.0,613519.0,739676.0
1995-01-01,1802319.0,3584245.0,876276.0,3204170.0,3581941.0,2064115.0,2110318.0,1305861.0,3989390.0,409703.0,7920381.0,66058793.0,14675162.0,12974430.0,783471.0,4127587.0,94951.0,11976401.0,354374.0,33229439.0,281091.0,3833536.0,3346737.0,419239.0,2812827.0,12206.0,5591015.0,16426067.0,5353892.0,9724566.0,606917.0,728739.0
1996-01-01,1824858.0,3700155.0,901934.0,2981698.0,3616620.0,1995054.0,2047787.0,1291903.0,4482717.0,419088.0,7829995.0,66394953.0,14403230.0,12805861.0,781006.0,4094140.0,70464.0,11707607.0,328595.0,33665101.0,361957.0,3955545.0,3450142.0,411610.0,2609362.0,13932.0,5583789.0,16574752.0,5401533.0,9774840.0,598273.0,710758.0
1997-01-01,1754214.0,3808575.0,930662.0,2869528.0,3696790.0,1948571.0,2019313.0,1300633.0,4921473.0,424572.0,7859701.0,66953661.0,14200746.0,12680648.0,776334.0,4106495.0,77890.0,11550634.0,310243.0,34149903.0,404675.0,4095923.0,3583682.0,404118.0,2510936.0,21848.0,5617808.0,16777546.0,5466968.0,9869899.0,594894.0,704084.0
1998-01-01,1717473.0,3920550.0,960925.0,2741881.0,3719304.0,1920573.0,2037914.0,1299796.0,5469605.0,438491.0,7851402.0,67509507.0,13975504.0,12558715.0,781027.0,4144803.0,208319.0,11400190.0,315978.0,34758810.0,442500.0,4225213.0,3724887.0,401006.0,2404718.0,9376.0,5655578.0,16883573.0,5527314.0,9950245.0,587465.0,693481.0
1999-01-01,1698806.0,4040128.0,994668.0,2614814.0,3666595.0,1872753.0,2074478.0,1297401.0,6068654.0,451449.0,7827378.0,68703774.0,13739137.0,12416283.0,802698.0,4197666.0,330565.0,11190010.0,308592.0,35541768.0,581460.0,4347111.0,3860353.0,403954.0,2302085.0,6786.0,5735734.0,16981004.0,5606712.0,10064612.0,592981.0,681852.0
2000-01-01,1677528.0,4171071.0,1030585.0,2499345.0,3601431.0,1827283.0,2114423.0,1287374.0,6598238.0,464550.0,7801648.0,69742103.0,13464515.0,12273181.0,830139.0,4186546.0,40845.0,10942002.0,318428.0,36253528.0,490421.0,4472950.0,4008850.0,410980.0,2203481.0,8806.0,5814989.0,17129807.0,5693575.0,10183128.0,596041.0,667979.0
